dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction ,release tokens,release documents,release length,token reduction,document reduction
finepdfs-1.0.0,lvs_Latn,1968750000,0.465,4229372445,542194,7800.5,4229372445,542194,7800.5,1.000,1.000,4225070587,542144,7793.3,0.999,1.000
finepdfs-1.0.0,mkd_Cyrl,844050000,0.510,1655260079,164854,10040.8,1655260079,164854,10040.8,1.000,1.000,1655262954,164854,10040.8,1.000,1.000
finepdfs-1.0.0,mlt_Latn,214800000,0.291,737732814,152241,4845.8,737732814,152241,4845.8,1.000,1.000,737733420,152241,4845.8,1.000,1.000
finepdfs-1.0.0,nld_Latn,4602600000,0.106,43632511070,7795696,5597.0,43582825547,7743299,5628.5,0.999,0.993,43571251353,7742956,5627.2,0.999,0.993
finepdfs-1.0.0,nno_Latn,202650000,0.594,340874944,91915,3708.6,340874944,91915,3708.6,1.000,1.000,340047987,91885,3700.8,0.998,1.000
finepdfs-1.0.0,nob_Latn,2677800000,0.269,9974679166,1501170,6644.6,9965835639,1493434,6673.1,0.999,0.995,9907782898,1492197,6639.7,0.993,0.994
finepdfs-1.0.0,pol_Latn,5742000000,0.138,41724854569,9692213,4305.0,41630299611,9566136,4351.8,0.998,0.987,41611298842,9565606,4350.1,0.997,0.987
finepdfs-1.0.0,por_Latn,8119650001,0.086,94299880209,12045013,7829.0,94203732262,11912903,7907.7,0.999,0.989,93296260101,11905596,7836.3,0.989,0.988
finepdfs-1.0.0,ron_Latn,2514750000,0.124,20365874849,3265132,6237.4,20339626453,3241886,6274.0,0.999,0.993,20287073265,3241505,6258.5,0.996,0.993
finepdfs-1.0.0,slk_Latn,2514900000,0.235,10722613075,2251520,4762.4,10722613075,2251520,4762.4,1.000,1.000,10718624277,2251433,4760.8,1.000,1.000
finepdfs-1.0.0,slv_Latn,2189100000,0.310,7058209834,930944,7581.8,7058209834,930944,7581.8,1.000,1.000,7043450284,930774,7567.3,0.998,1.000
finepdfs-1.0.0,spa_Latn,23456700000,0.110,214982410543,25629014,8388.2,213984848253,25098715,8525.7,0.995,0.979,212231159889,25077715,8462.9,0.987,0.978
finepdfs-1.0.0,srp_Cyrl,1595700000,0.158,10096061037,945085,10682.7,10096061037,945085,10682.7,1.000,1.000,10088354708,945015,10675.3,0.999,1.000
finepdfs-1.0.0,swe_Latn,2716800000,0.124,21917786744,4125120,5313.2,21868591993,4090971,5345.6,0.998,0.992,21867580434,4090937,5345.4,0.998,0.992
finepdfs-1.0.0,tur_Latn,3825000001,0.248,15429740155,1699676,9078.0,15429740155,1699676,9078.0,1.000,1.000,15384412416,1699319,9053.3,0.997,1.000
finepdfs-1.0.0,ukr_Cyrl,2536050000,0.103,24556069044,2677732,9170.5,24556069044,2677732,9170.5,1.000,1.000,24406896795,2675609,9122.0,0.994,0.999
finepdfs-edu-1.0.0,als_Latn,1888050001,3.997,472332224,20962,22532.8,472332224,20962,22532.8,1.000,1.000,472177719,20957,22530.8,1.000,1.000
finepdfs-edu-1.0.0,bos_Latn,3416100000,3.479,981965136,73418,13375.0,981965136,73418,13375.0,1.000,1.000,981980960,73418,13375.2,1.000,1.000
finepdfs-edu-1.0.0,bul_Cyrl,4875000000,3.913,1245739246,138264,9009.9,1245739246,138264,9009.9,1.000,1.000,1241372759,138114,8988.0,0.996,0.999
finepdfs-edu-1.0.0,cat_Latn,4559700000,3.969,1148874840,200432,5732.0,1148874840,200432,5732.0,1.000,1.000,1141271332,200163,5701.7,0.993,0.999
finepdfs-edu-1.0.0,ces_Latn,10541100000,2.591,4076220329,586520,6949.8,4068984792,584636,6959.9,0.998,0.997,4064671949,584523,6953.8,0.997,0.997
finepdfs-edu-1.0.0,dan_Latn,6717750000,3.995,1685264681,256425,6572.2,1681494118,255779,6574.0,0.998,0.997,1680691305,255758,6571.4,0.997,0.997
finepdfs-edu-1.0.0,deu_Latn,59491350000,3.549,16814852514,3844508,4373.7,16761395374,3834214,4371.5,0.997,0.997,16742969982,3833899,4367.1,0.996,0.997
finepdfs-edu-1.0.0,ekk_Latn,1621650000,3.988,406649970,57559,7064.9,406649970,57559,7064.9,1.000,1.000,406190402,57547,7058.4,0.999,1.000
finepdfs-edu-1.0.0,ell_Grek,8101200000,3.465,2338140100,209039,11185.2,2338140100,209039,11185.2,1.000,1.000,2325597188,208786,11138.7,0.995,0.999
finepdfs-edu-1.0.0,eng_Latn,137091075000,0.968,141839278641,23023372,6160.7,141586448212,22956213,6167.7,0.998,0.997,137091075128,22875202,5993.0,0.967,0.994
finepdfs-edu-1.0.0,eus_Latn,1153500000,3.908,295150093,37708,7827.3,295150093,37708,7827.3,1.000,1.000,288726384,37654,7667.9,0.978,0.999
finepdfs-edu-1.0.0,fin_Latn,7530750000,3.844,1960226158,211328,9275.8,1959238283,210799,9294.3,0.999,0.997,1958269300,210777,9290.7,0.999,0.997
finepdfs-edu-1.0.0,fra_Latn,62113950000,3.548,17538489293,2983957,5877.6,17505489170,2971345,5891.4,0.998,0.996,17447123003,2970691,5873.1,0.995,0.996
finepdfs-edu-1.0.0,glg_Latn,855450000,3.626,235935307,30901,7635.2,235935307,30901,7635.2,1.000,1.000,214084088,30326,7059.4,0.907,0.981
finepdfs-edu-1.0.0,hrv_Latn,6487350000,3.977,1631281189,149301,10926.1,1631281189,149301,10926.1,1.000,1.000,1624517505,149214,10887.2,0.996,0.999
finepdfs-edu-1.0.0,hun_Latn,8342100000,1.714,4870661193,343121,14195.2,4867312556,342454,14213.0,0.999,0.998,4831028909,342327,14112.3,0.992,0.998
finepdfs-edu-1.0.0,isl_Latn,997500000,3.990,249999161,40080,6237.5,249999161,40080,6237.5,1.000,1.000,249865550,40074,6235.1,0.999,1.000
finepdfs-edu-1.0.0,ita_Latn,22051650000,2.163,10213000226,1868040,5467.2,10194710404,1863730,5470.1,0.998,0.998,10141432460,1862152,5446.1,0.993,0.997
finepdfs-edu-1.0.0,lit_Latn,3476850000,3.960,877919983,96715,9077.4,877919983,96715,9077.4,1.000,1.000,869287440,96638,8995.3,0.990,0.999
